#;Date and time;Second;Microsecond
1;2023-04-15 22:15:33.345287;33;345287
2;2023-04-15 22:15:33.357286;33;357286
3;2023-04-15 22:15:33.368286;33;368286
4;2023-04-15 22:15:33.379285;33;379285
5;2023-04-15 22:15:33.389802;33;389802
6;2023-04-15 22:15:33.400316;33;400316
7;2023-04-15 22:15:33.410823;33;410823
8;2023-04-15 22:15:33.421335;33;421335
9;2023-04-15 22:15:33.431848;33;431848
10;2023-04-15 22:15:33.442351;33;442351
11;2023-04-15 22:15:33.453351;33;453351
12;2023-04-15 22:15:33.464351;33;464351
13;2023-04-15 22:15:33.475351;33;475351
14;2023-04-15 22:15:33.485863;33;485863
15;2023-04-15 22:15:33.496862;33;496862
16;2023-04-15 22:15:33.507865;33;507865
17;2023-04-15 22:15:33.518382;33;518382
18;2023-04-15 22:15:33.528891;33;528891
19;2023-04-15 22:15:33.539892;33;539892
20;2023-04-15 22:15:33.550406;33;550406
21;2023-04-15 22:15:33.560918;33;560918
22;2023-04-15 22:15:33.571915;33;571915
23;2023-04-15 22:15:33.582915;33;582915
24;2023-04-15 22:15:33.593915;33;593915
25;2023-04-15 22:15:33.604915;33;604915
26;2023-04-15 22:15:33.615916;33;615916
27;2023-04-15 22:15:33.626915;33;626915
28;2023-04-15 22:15:33.637915;33;637915
29;2023-04-15 22:15:33.648431;33;648431
30;2023-04-15 22:15:33.658944;33;658944
31;2023-04-15 22:15:33.669937;33;669937
32;2023-04-15 22:15:33.680455;33;680455
33;2023-04-15 22:15:33.691449;33;691449
34;2023-04-15 22:15:33.702449;33;702449
35;2023-04-15 22:15:33.713450;33;713450
36;2023-04-15 22:15:33.724449;33;724449
37;2023-04-15 22:15:33.735449;33;735449
38;2023-04-15 22:15:33.745960;33;745960
39;2023-04-15 22:15:33.756960;33;756960
40;2023-04-15 22:15:33.767961;33;767961
41;2023-04-15 22:15:33.778480;33;778480
42;2023-04-15 22:15:33.788996;33;788996
43;2023-04-15 22:15:33.799996;33;799996
44;2023-04-15 22:15:33.810996;33;810996
45;2023-04-15 22:15:33.821996;33;821996
46;2023-04-15 22:15:33.832995;33;832995
47;2023-04-15 22:15:33.843996;33;843996
48;2023-04-15 22:15:33.854995;33;854995
49;2023-04-15 22:15:33.865507;33;865507
50;2023-04-15 22:15:33.876506;33;876506
51;2023-04-15 22:15:33.887507;33;887507
52;2023-04-15 22:15:33.898020;33;898020
53;2023-04-15 22:15:33.908529;33;908529
54;2023-04-15 22:15:33.919523;33;919523
55;2023-04-15 22:15:33.930524;33;930524
56;2023-04-15 22:15:33.941524;33;941524
57;2023-04-15 22:15:33.956525;33;956525
58;2023-04-15 22:15:33.967525;33;967525
59;2023-04-15 22:15:33.978043;33;978043
60;2023-04-15 22:15:33.988551;33;988551
61;2023-04-15 22:15:33.999547;33;999547
62;2023-04-15 22:15:34.010546;34;10546
63;2023-04-15 22:15:34.021545;34;21545
64;2023-04-15 22:15:34.032545;34;32545
65;2023-04-15 22:15:34.043548;34;43548
66;2023-04-15 22:15:34.054546;34;54546
67;2023-04-15 22:15:34.065545;34;65545
68;2023-04-15 22:15:34.076547;34;76547
69;2023-04-15 22:15:34.087546;34;87546
70;2023-04-15 22:15:34.098249;34;98249
71;2023-04-15 22:15:34.108618;34;108618
72;2023-04-15 22:15:34.119612;34;119612
73;2023-04-15 22:15:34.130611;34;130611
74;2023-04-15 22:15:34.141611;34;141611
75;2023-04-15 22:15:34.152611;34;152611
76;2023-04-15 22:15:34.163611;34;163611
77;2023-04-15 22:15:34.174612;34;174612
78;2023-04-15 22:15:34.185612;34;185612
79;2023-04-15 22:15:34.196611;34;196611
80;2023-04-15 22:15:34.207612;34;207612
81;2023-04-15 22:15:34.218130;34;218130
82;2023-04-15 22:15:34.228637;34;228637
83;2023-04-15 22:15:34.239632;34;239632
84;2023-04-15 22:15:34.250632;34;250632
85;2023-04-15 22:15:34.261632;34;261632
86;2023-04-15 22:15:34.272632;34;272632
87;2023-04-15 22:15:34.283631;34;283631
88;2023-04-15 22:15:34.294633;34;294633
89;2023-04-15 22:15:34.305633;34;305633
90;2023-04-15 22:15:34.316632;34;316632
91;2023-04-15 22:15:34.327633;34;327633
92;2023-04-15 22:15:34.338149;34;338149
93;2023-04-15 22:15:34.348661;34;348661
94;2023-04-15 22:15:34.359655;34;359655
95;2023-04-15 22:15:34.370653;34;370653
96;2023-04-15 22:15:34.381654;34;381654
97;2023-04-15 22:15:34.392655;34;392655
98;2023-04-15 22:15:34.403652;34;403652
99;2023-04-15 22:15:34.414653;34;414653
100;2023-04-15 22:15:34.426656;34;426656
101;2023-04-15 22:15:34.437655;34;437655
102;2023-04-15 22:15:34.448169;34;448169
103;2023-04-15 22:15:34.459676;34;459676
104;2023-04-15 22:15:34.470675;34;470675
105;2023-04-15 22:15:34.481676;34;481676
106;2023-04-15 22:15:34.496675;34;496675
107;2023-04-15 22:15:34.508676;34;508676
108;2023-04-15 22:15:34.520691;34;520691
109;2023-04-15 22:15:34.531677;34;531677
110;2023-04-15 22:15:34.542677;34;542677
111;2023-04-15 22:15:34.553677;34;553677
112;2023-04-15 22:15:34.566677;34;566677
113;2023-04-15 22:15:34.586676;34;586676
114;2023-04-15 22:15:34.598676;34;598676
115;2023-04-15 22:15:34.611676;34;611676
116;2023-04-15 22:15:34.622195;34;622195
117;2023-04-15 22:15:34.632705;34;632705
118;2023-04-15 22:15:34.643706;34;643706
119;2023-04-15 22:15:34.654224;34;654224
120;2023-04-15 22:15:34.664736;34;664736
121;2023-04-15 22:15:34.678241;34;678241
122;2023-04-15 22:15:34.692240;34;692240
123;2023-04-15 22:15:34.703241;34;703241
124;2023-04-15 22:15:34.713762;34;713762
125;2023-04-15 22:15:34.726273;34;726273
126;2023-04-15 22:15:34.737786;34;737786
127;2023-04-15 22:15:34.755786;34;755786
128;2023-04-15 22:15:34.766786;34;766786
129;2023-04-15 22:15:34.777787;34;777787
130;2023-04-15 22:15:34.811808;34;811808
131;2023-04-15 22:15:34.830808;34;830808
132;2023-04-15 22:15:34.841809;34;841809
133;2023-04-15 22:15:34.852812;34;852812
134;2023-04-15 22:15:34.863808;34;863808
135;2023-04-15 22:15:34.874810;34;874810
136;2023-04-15 22:15:34.888358;34;888358
137;2023-04-15 22:15:34.901358;34;901358
138;2023-04-15 22:15:34.912360;34;912360
139;2023-04-15 22:15:34.927359;34;927359
140;2023-04-15 22:15:34.943369;34;943369
141;2023-04-15 22:15:34.964360;34;964360
142;2023-04-15 22:15:34.975360;34;975360
143;2023-04-15 22:15:34.986360;34;986360
